Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_material_id,SRA Study
SRR27883923,WGS,302,3058653886,PRJNA1073697,SAMN39836448,Metagenome or environmental,1129636542,SOONCHUNHYANG UNIVERSITY,2023-10-29,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX23545785,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,skin,36.7710 N 126.9322 E,238_LH_12,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:34:00Z,1,238_human skin virome_right hand_12,238_LH_12,SRP488367
SRR27883924,WGS,302,3295449670,PRJNA1073697,SAMN39836447,Metagenome or environmental,1203024460,SOONCHUNHYANG UNIVERSITY,2023-10-29,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX23545784,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,skin,36.7710 N 126.9322 E,238_RH_12,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:34:00Z,1,238_human skin virome_left hand_12,238_RH_12,SRP488367
SRR27883925,WGS,302,3165412396,PRJNA1073697,SAMN39836446,Metagenome or environmental,1164083896,SOONCHUNHYANG UNIVERSITY,2023-10-29,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX23545783,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,skin,36.7710 N 126.9322 E,238_FH_12,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:35:00Z,1,238_human skin virome_forehead_12,238_FH_12,SRP488367
SRR27883926,WGS,302,3218156394,PRJNA1073697,SAMN39836445,Metagenome or environmental,1129149389,SOONCHUNHYANG UNIVERSITY,2023-09-17,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23545782,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,skin,36.7710 N 126.9322 E,238_LH_6,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:34:00Z,1,238_human skin virome_right hand_6,238_LH_6,SRP488367
SRR27883927,WGS,302,3192159932,PRJNA1073697,SAMN39836444,Metagenome or environmental,1144644414,SOONCHUNHYANG UNIVERSITY,2023-09-17,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23545781,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,skin,36.7710 N 126.9322 E,238_RH_6,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:32:00Z,1,238_human skin virome_left hand_6,238_RH_6,SRP488367
SRR27883928,WGS,302,3383584142,PRJNA1073697,SAMN39836443,Metagenome or environmental,1222535250,SOONCHUNHYANG UNIVERSITY,2023-09-17,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23545780,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,skin,36.7710 N 126.9322 E,238_FH_6,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:35:00Z,1,238_human skin virome_forehead_6,238_FH_6,SRP488367
SRR27883929,WGS,302,3282452798,PRJNA1073697,SAMN39836442,Metagenome or environmental,1150687486,SOONCHUNHYANG UNIVERSITY,2023-08-06,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX23545779,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,skin,36.7710 N 126.9322 E,238_LH_0,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:35:00Z,1,238_human skin virome_right hand_0,238_LH_0,SRP488367
SRR27883930,WGS,302,3478063634,PRJNA1073697,SAMN39836441,Metagenome or environmental,1199981971,SOONCHUNHYANG UNIVERSITY,2023-08-06,public,"sra,run.zq,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX23545778,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,skin,36.7710 N 126.9322 E,238_RH_0,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:34:00Z,1,238_human skin virome_left hand_0,238_RH_0,SRP488367
SRR27883931,WGS,302,3359645810,PRJNA1073697,SAMN39836440,Metagenome or environmental,1166356909,SOONCHUNHYANG UNIVERSITY,2023-08-06,public,"sra,run.zq,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23545777,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,skin,36.7710 N 126.9322 E,238_FH_0,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:32:00Z,1,238_human skin virome_forehead_0,238_FH_0,SRP488367
SRR27883932,WGS,302,3161811046,PRJNA1073697,SAMN39836439,Metagenome or environmental,1142243320,SOONCHUNHYANG UNIVERSITY,2023-07-27,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX23545776,South Korea,Asia,"South Korea: Chungnam\, Asan",Homo sapiens,Illumina NovaSeq 6000,plastic,36.7710 N 126.9322 E,237_P,PAIRED,MDA,METAGENOMIC,human skin metagenome,ILLUMINA,2024-04-15T00:00:00Z,2024-02-06T01:32:00Z,1,237_human touched virome_plastic,237_P,SRP488367
